top,Yield,ROC,EarningsYield,RS(6m),ROA,ΔROA,AccrualRatio,ΔLTDebt-to-Assets,ΔCurrentRatio,ΔOpMgn,ΔAssetTurnover,roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
30,-1,-1,0,1,0,0,-1,1,-1,-1,1,69.42,11.12,11.61,15.83,0.77,12.64,0.05,1.02,-25.81,-1.63,-37.2,-2.34
30,-1,-1,0,1,0,0,0,0,0,1,-1,88.94,13.57,13.87,16.69,0.87,22.69,0.09,1.06,-26.29,-1.66,-38.9,-2.45
30,-1,-1,0,1,0,0,0,1,1,-1,0,146.05,19.73,18.8,15.77,1.23,50.6,0.2,1.0,-25.74,-1.62,-35.79,-2.25
30,-1,-1,0,1,0,0,1,0,1,-1,-1,144.41,19.57,19.1,18.22,1.08,52.59,0.21,0.99,-25.39,-1.6,-41.15,-2.59
30,-1,-1,0,1,0,1,0,0,0,1,1,82.13,12.74,13.24,17.38,0.8,16.89,0.07,1.11,-27.74,-1.75,-40.32,-2.54
30,-1,-1,0,1,0,1,1,1,1,1,-1,110.22,16.02,15.71,15.68,1.04,34.57,0.14,1.01,-24.1,-1.52,-36.18,-2.28
30,-1,-1,0,1,0,1,1,1,1,1,1,85.96,13.21,13.38,16.27,0.86,21.01,0.08,1.04,-25.76,-1.62,-38.06,-2.4
30,-1,-1,0,1,1,-1,-1,1,1,1,0,107.15,15.68,15.51,15.68,1.03,35.19,0.14,0.97,-24.58,-1.55,-36.83,-2.32
30,-1,-1,0,1,1,-1,0,-1,0,-1,1,53.02,8.88,9.45,15.07,0.67,4.85,0.02,0.96,-24.22,-1.53,-35.99,-2.27
30,-1,-1,0,1,1,-1,0,1,-1,1,1,99.57,14.82,14.57,15.1,1.01,32.39,0.13,0.93,-23.78,-1.5,-34.49,-2.17
30,-1,-1,0,1,1,-1,0,1,1,0,1,102.54,15.16,14.91,15.04,1.03,34.26,0.14,0.93,-24.04,-1.51,-35.32,-2.22
30,-1,-1,0,1,1,-1,1,-1,0,0,-1,59.74,9.82,10.19,14.55,0.75,10.1,0.04,0.93,-23.37,-1.47,-33.4,-2.1
30,-1,-1,0,1,1,0,-1,0,0,-1,1,63.48,10.33,10.83,15.68,0.73,11.56,0.05,0.96,-25.43,-1.6,-37.08,-2.34
30,-1,-1,0,1,1,0,1,1,-1,1,0,104.84,15.42,15.18,15.16,1.04,33.95,0.13,0.96,-23.4,-1.47,-34.35,-2.16
30,-1,-1,0,1,1,1,-1,-1,0,0,0,73.19,11.61,11.99,16.32,0.78,14.79,0.06,1.03,-26.61,-1.68,-38.6,-2.43
30,-1,-1,1,-1,-1,-1,-1,0,0,1,0,115.62,16.61,16.75,18.46,0.94,34.88,0.14,1.11,-29.02,-1.83,-42.9,-2.7
30,-1,-1,1,-1,-1,-1,-1,1,0,0,1,97.23,14.55,14.91,18.14,0.86,26.97,0.11,1.08,-28.48,-1.79,-41.79,-2.63
30,-1,-1,1,-1,-1,1,-1,1,1,1,1,101.84,15.08,15.04,16.38,0.96,28.58,0.11,1.06,-27.23,-1.72,-38.84,-2.45
30,-1,-1,1,-1,-1,1,0,1,0,0,0,159.59,21.02,20.17,17.41,1.19,52.87,0.21,1.1,-27.76,-1.75,-41.09,-2.59
30,-1,-1,1,-1,-1,1,1,1,-1,0,0,89.69,13.66,13.8,16.09,0.89,22.35,0.09,1.06,-26.2,-1.65,-37.88,-2.39
30,-1,-1,1,-1,0,-1,-1,1,-1,1,0,97.23,14.55,14.77,17.43,0.88,27.94,0.11,1.04,-26.38,-1.66,-40.49,-2.55
30,-1,-1,1,-1,0,-1,0,1,0,0,0,91.19,13.84,14.08,16.93,0.87,25.67,0.1,1.02,-27.1,-1.71,-39.82,-2.51
30,-1,-1,1,-1,0,0,-1,1,0,0,1,105.64,15.51,15.64,17.67,0.92,30.5,0.12,1.08,-27.34,-1.72,-41.42,-2.61
30,-1,-1,1,-1,0,0,0,-1,0,1,-1,63.48,10.33,10.75,15.26,0.75,10.1,0.04,0.98,-24.43,-1.54,-35.99,-2.27
30,-1,-1,1,-1,0,0,0,-1,1,1,0,53.02,8.88,9.54,15.8,0.64,2.53,0.01,1.02,-24.95,-1.57,-37.14,-2.34
30,-1,-1,1,-1,0,0,0,0,-1,1,0,88.19,13.48,13.59,15.65,0.91,23.02,0.09,1.02,-25.12,-1.58,-36.7,-2.31
30,-1,-1,1,-1,0,0,1,1,1,-1,1,61.93,10.12,10.67,15.59,0.72,7.88,0.03,1.02,-26.25,-1.65,-37.02,-2.33
30,-1,-1,1,-1,0,1,-1,0,0,-1,1,76.16,11.99,12.51,16.88,0.78,16.89,0.07,1.03,-27.89,-1.76,-39.59,-2.49
30,-1,-1,1,-1,0,1,0,0,1,1,1,82.94,12.84,13.09,16.09,0.85,19.65,0.08,1.04,-25.58,-1.61,-37.45,-2.36
30,-1,-1,1,-1,1,-1,0,0,0,1,0,87.44,13.39,13.38,14.78,0.95,26.32,0.1,0.93,-23.26,-1.47,-34.56,-2.18
30,-1,-1,1,-1,1,-1,1,-1,1,-1,0,54.5,9.09,9.62,14.91,0.69,5.99,0.02,0.95,-24.2,-1.52,-34.42,-2.17
30,-1,-1,1,-1,1,0,1,-1,1,1,-1,59.74,9.82,10.11,14.17,0.76,10.83,0.04,0.91,-23.35,-1.47,-32.57,-2.05
30,-1,-1,1,-1,1,1,-1,-1,0,1,-1,67.9,10.92,11.3,15.23,0.78,13.72,0.05,0.97,-25.19,-1.59,-35.85,-2.26
30,-1,-1,1,-1,1,1,0,1,0,1,1,99.57,14.82,14.63,15.29,1.0,29.86,0.12,0.99,-24.43,-1.54,-35.18,-2.22
30,-1,-1,1,0,-1,-1,1,0,-1,-1,-1,180.05,22.87,21.79,18.49,1.21,65.88,0.26,1.0,-25.76,-1.62,-42.32,-2.67
30,-1,-1,1,0,-1,0,-1,0,0,1,0,144.41,19.57,18.98,17.49,1.12,45.1,0.18,1.13,-28.48,-1.79,-40.77,-2.57
30,-1,-1,1,0,-1,0,0,-1,1,0,1,62.67,10.22,10.91,16.52,0.7,7.13,0.03,1.07,-27.43,-1.73,-39.13,-2.46
30,-1,-1,1,0,-1,1,-1,-1,0,0,1,95.0,14.29,14.43,16.85,0.89,23.69,0.09,1.09,-27.54,-1.73,-39.82,-2.51
30,-1,-1,1,0,-1,1,0,-1,-1,-1,0,89.69,13.66,13.8,16.38,0.88,21.68,0.09,1.07,-25.02,-1.58,-38.48,-2.42
30,-1,-1,1,0,-1,1,1,0,-1,1,1,105.64,15.51,15.51,16.58,0.97,30.18,0.12,1.08,-26.29,-1.66,-38.48,-2.42
30,-1,-1,1,0,0,-1,-1,1,0,-1,1,70.95,11.32,11.76,16.24,0.76,14.43,0.06,1.01,-27.43,-1.73,-38.0,-2.39
30,-1,-1,1,0,0,-1,1,-1,-1,-1,1,43.3,7.46,8.07,14.84,0.59,-2.26,-0.01,0.97,-23.96,-1.51,-34.42,-2.17
30,-1,-1,1,0,0,0,-1,0,0,-1,0,117.94,16.86,16.68,17.28,1.0,37.64,0.15,1.05,-26.97,-1.7,-40.27,-2.54
30,-1,-1,1,0,0,0,0,0,0,0,1,74.67,11.8,12.21,16.09,0.8,15.49,0.06,1.03,-25.27,-1.59,-37.14,-2.34
