w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
-1,0,-1,0,0,-1,0,0,-1,-1,1,0.94,17.42,-28.41,-4.16342,139
0,-1,-1,-1,1,-1,1,1,0,1,-1,1.1,16.74,-24.92,-3.97854,140
-1,-1,-1,-1,1,-1,0,0,0,0,0,1.18,23.83,-28.91,-4.67377,141
-1,-1,-1,0,0,-1,0,0,0,1,0,1.18,24.07,-29.71,-4.75577,142
-1,-1,-1,-1,-1,1,0,0,0,0,-1,1.27,27.22,-30.45,-5.0241,143
-1,-1,-1,-1,0,-1,0,0,0,1,0,1.24,26.07,-30.59,-4.96673,144
-1,-1,-1,-1,-1,0,0,0,1,0,-1,1.23,26.42,-30.46,-4.95702,145
-1,0,1,-1,0,0,0,1,1,-1,1,0.78,11.38,-26.13,-3.58226,146
-1,-1,-1,-1,0,0,0,0,0,-1,-1,1.22,25.91,-29.81,-4.86937,147
-1,-1,-1,-1,-1,0,0,0,1,-1,-1,1.21,25.19,-29.98,-4.84981,148
-1,-1,-1,1,0,1,1,1,0,1,-1,0.96,15.19,-26.5,-3.92965,149
0,0,-1,0,0,-1,-1,-1,-1,1,-1,0.77,11.21,-26.52,-3.60219,150
-1,-1,-1,-1,1,1,-1,1,0,1,0,1.18,20.3,-27.22,-4.39474,151
-1,1,-1,-1,0,0,-1,1,0,1,0,1.04,17.15,-26.8,-4.10585,152
-1,0,-1,-1,1,-1,0,-1,0,1,0,0.94,14.11,-24.61,-3.69797,153
1,0,1,1,1,1,-1,0,0,1,1,0.66,9.01,-23.8,-3.16495,154
-1,-1,0,-1,-1,-1,0,0,0,0,-1,1.18,25.54,-30.16,-4.84862,155
-1,-1,-1,-1,0,-1,0,0,0,0,0,1.13,23.72,-30.88,-4.801159999999999,156
-1,1,1,0,1,1,-1,0,1,0,-1,0.91,12.98,-24.38,-3.60726,157
-1,-1,1,1,1,0,-1,1,1,1,-1,0.97,14.62,-24.06,-3.69522,158
-1,-1,-1,-1,1,-1,1,0,0,1,-1,1.32,25.87,-28.35,-4.83365,159
-1,0,-1,-1,-1,0,0,1,-1,1,-1,0.94,16.37,-29.09,-4.18923,160
0,-1,1,-1,1,1,-1,0,0,0,-1,0.9,12.69,-24.21,-3.57147,161
-1,0,-1,0,-1,0,0,1,-1,-1,-1,0.86,14.46,-28.46,-3.98442,162
-1,-1,0,-1,0,1,0,0,0,0,-1,1.33,28.11,-27.54,-4.847530000000001,163
-1,-1,-1,-1,1,-1,0,1,0,1,1,1.13,18.81,-27.62,-4.32939,164
-1,-1,-1,-1,-1,0,0,0,0,0,-1,1.23,27.45,-32.19,-5.152229999999999,165
0,1,-1,-1,1,-1,0,1,0,1,1,0.95,12.57,-22.73,-3.48111,166
-1,-1,-1,-1,1,-1,0,0,0,1,-1,1.28,26.03,-27.86,-4.75417,167
-1,1,-1,-1,0,0,0,0,0,1,-1,0.9,13.93,-26.49,-3.82463,168
-1,1,1,0,1,-1,0,1,1,-1,-1,0.79,10.32,-23.45,-3.3086,169
-1,1,1,1,-1,0,-1,1,1,1,1,0.76,11.53,-27.06,-3.65307,170
-1,-1,1,-1,1,-1,1,1,1,1,1,0.95,13.5,-24.67,-3.69214,171
-1,-1,-1,-1,-1,-1,0,0,0,1,1,1.26,26.32,-30.18,-4.95776,172
0,1,-1,-1,0,1,1,-1,-1,-1,1,0.65,7.99,-22.15,-2.96745,173
0,0,-1,-1,0,1,-1,-1,0,-1,1,0.6,7.85,-23.81,-3.06527,174
-1,-1,-1,0,0,-1,0,0,0,1,1,0.95,15.8,-28.94,-4.1654800000000005,175
-1,-1,0,-1,-1,1,0,0,0,0,-1,1.3,27.94,-29.63,-5.00386,176
-1,-1,0,-1,-1,1,0,0,0,-1,0,1.24,25.73,-28.91,-4.80027,177
-1,-1,-1,-1,-1,-1,1,0,0,1,0,1.1,21.71,-30.09,-4.6281300000000005,178
0,0,-1,0,-1,-1,1,-1,-1,1,-1,0.56,7.46,-25.43,-3.16066,179
-1,-1,-1,-1,0,-1,-1,1,1,-1,0,0.88,14.49,-27.09,-3.87943,180
-1,1,1,1,1,0,-1,-1,0,1,0,0.63,8.39,-24.59,-3.18593,181
-1,-1,-1,-1,-1,0,0,0,0,0,0,1.22,25.69,-30.51,-4.926070000000001,182
