roi,annualized,mean,std,sharpe,alpha,alpha_daily,beta,var,var_daily,tvar,tvar_daily
197.31,24.35,23.13,19.28,1.23,68.34,0.27,1.09,-28.54,-1.8,-44.66,-2.81
213.8,25.7,24.16,19.17,1.29,75.39,0.3,1.06,-29.06,-1.83,-43.77,-2.76
118.72,16.94,16.72,17.02,1.02,35.21,0.14,1.1,-28.76,-1.81,-39.72,-2.5
169.48,21.93,21.07,18.53,1.17,60.62,0.24,1.04,-27.52,-1.73,-42.93,-2.7
171.02,22.07,21.17,18.46,1.18,60.41,0.24,1.05,-26.87,-1.69,-42.51,-2.68
101.53,15.05,15.1,16.9,0.93,27.35,0.11,1.09,-26.94,-1.7,-39.43,-2.48
186.11,23.4,22.48,19.79,1.17,68.13,0.27,1.03,-28.2,-1.78,-45.83,-2.89
108.94,15.88,15.67,16.06,1.01,33.13,0.13,1.03,-24.86,-1.57,-37.47,-2.36
118.0,16.87,16.7,17.29,1.0,37.65,0.15,1.05,-26.95,-1.7,-40.22,-2.53
63.97,10.4,10.73,14.71,0.77,11.5,0.05,0.96,-23.45,-1.48,-34.17,-2.15
94.24,14.2,14.14,15.39,0.96,27.29,0.11,0.99,-24.47,-1.54,-35.37,-2.23
109.83,15.98,16.01,17.62,0.94,32.71,0.13,1.08,-28.2,-1.78,-41.28,-2.6
77.23,12.13,12.31,15.11,0.85,19.43,0.08,0.96,-24.18,-1.52,-35.18,-2.22
86.1,13.23,13.31,15.42,0.9,23.47,0.09,0.98,-23.94,-1.51,-35.65,-2.25
206.73,25.13,23.77,19.41,1.26,72.28,0.29,1.08,-27.79,-1.75,-44.32,-2.79
