w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var
0,-1,0,0,-1,0,0,0,0,-1,0,1.15,22.05,-27.69
0,0,0,0,-1,0,0,1,0,0,-1,1.07,17.99,-27.03
-1,0,-1,-1,0,0,0,0,0,0,-1,1.25,26.17,-29.23
-1,-1,-1,-1,0,0,1,0,-1,0,0,1.29,25.43,-28.56
-1,-1,0,0,-1,0,-1,1,0,1,-1,1.23,23.78,-28.42
-1,-1,0,0,0,-1,1,1,1,0,-1,1.01,15.77,-25.68
-1,-1,-1,-1,-1,0,0,0,-1,0,-1,1.12,23.31,-30.48
0,-1,-1,0,-1,1,-1,0,1,-1,0,1.04,17.93,-27.55
-1,-1,-1,0,-1,0,1,1,-1,0,-1,0.97,16.42,-27.91
-1,0,-1,-1,0,0,0,-1,0,0,0,0.76,12.41,-28.06
-1,-1,0,0,-1,-1,1,1,0,1,0,0.89,14.2,-28.82
-1,-1,1,-1,0,0,1,0,-1,0,0,1.13,20.34,-26.77
-1,-1,1,-1,0,0,1,0,0,-1,0,1.04,18.61,-27.0
-1,0,0,0,-1,0,0,1,0,1,-1,1.09,18.64,-27.9
-1,0,-1,0,-1,0,1,1,0,-1,0,0.94,15.68,-28.88
-1,-1,0,0,0,0,1,0,1,0,0,1.24,22.87,-26.62
-1,-1,0,0,-1,-1,-1,1,0,1,-1,1.09,20.07,-29.27
-1,-1,0,1,0,0,1,0,0,-1,0,1.09,19.68,-25.85
-1,0,0,-1,0,1,1,-1,-1,0,0,0.94,13.74,-24.23
-1,0,-1,0,-1,0,1,0,1,0,1,0.67,10.02,-28.66
-1,0,0,0,-1,1,-1,0,0,-1,-1,1.2,25.79,-29.95
0,-1,0,-1,0,1,0,0,0,0,-1,1.26,23.48,-24.88
-1,-1,-1,-1,0,1,1,0,-1,0,0,1.28,25.37,-26.97
0,-1,0,1,-1,1,1,0,-1,0,0,1.1,20.42,-25.83
-1,-1,-1,-1,0,0,-1,0,0,0,-1,1.26,27.25,-30.9
-1,-1,-1,-1,0,0,0,0,-1,0,0,1.25,26.48,-29.97
-1,-1,1,1,-1,0,1,0,-1,0,0,1.09,20.32,-25.97
-1,-1,0,-1,-1,1,1,1,-1,0,-1,0.93,15.07,-26.74
-1,0,1,0,0,0,0,1,0,-1,0,0.81,11.73,-24.74
-1,-1,-1,1,-1,0,1,0,-1,-1,-1,1.14,21.78,-27.18
-1,-1,1,0,0,0,1,0,1,0,0,0.86,13.01,-26.2
0,-1,0,-1,0,1,1,0,-1,0,-1,1.23,22.17,-23.85
0,-1,1,-1,0,1,1,0,-1,0,0,1.31,23.38,-23.83
-1,-1,0,-1,0,0,0,0,0,1,-1,1.35,27.67,-26.92
-1,-1,-1,-1,-1,1,0,0,-1,0,0,1.24,25.66,-29.31
-1,-1,0,-1,0,1,1,0,-1,0,-1,1.23,23.06,-25.21
-1,-1,1,0,-1,0,0,1,1,0,-1,1.18,20.88,-28.56
-1,-1,0,0,0,1,0,0,0,0,0,1.03,17.55,-27.86
0,0,0,0,0,1,-1,0,1,-1,0,0.92,13.43,-25.34
-1,-1,1,0,-1,0,1,0,0,1,0,1.2,23.53,-28.54
-1,-1,-1,0,0,0,1,0,0,0,0,1.12,21.64,-30.28
-1,-1,-1,-1,-1,0,0,1,-1,0,0,0.88,15.46,-29.65
-1,-1,-1,-1,0,1,1,0,-1,-1,0,1.29,25.39,-27.8
0,-1,0,-1,0,1,0,0,0,0,0,0.98,15.21,-24.82
-1,-1,-1,-1,0,1,0,0,-1,0,0,1.37,28.55,-28.87
-1,0,-1,0,-1,-1,0,1,0,0,-1,0.94,16.54,-28.48
-1,-1,1,-1,0,0,1,0,-1,0,-1,1.21,22.36,-25.74
-1,-1,-1,-1,0,0,-1,0,0,0,0,1.24,26.18,-30.23
-1,0,0,0,0,0,1,0,0,-1,0,1.15,20.52,-25.68
0,-1,0,-1,0,0,1,0,1,0,-1,1.17,21.38,-26.08
-1,0,0,-1,-1,1,0,-1,-1,0,0,0.77,11.76,-26.8
-1,-1,0,1,-1,-1,-1,1,0,-1,-1,1.02,17.22,-27.35
-1,0,-1,-1,0,0,0,0,-1,0,-1,1.18,24.11,-29.03
-1,-1,-1,-1,0,1,1,0,0,-1,0,1.14,22.97,-30.21
-1,0,-1,-1,0,1,0,0,0,0,-1,1.23,25.46,-27.86
-1,-1,0,-1,0,-1,-1,1,0,1,-1,0.97,16.68,-27.23
-1,-1,-1,0,0,1,0,0,-1,-1,0,1.24,25.11,-28.97
-1,-1,-1,-1,-1,1,1,1,-1,0,0,0.98,16.7,-28.81
-1,-1,-1,-1,0,0,0,0,0,0,-1,1.2,25.87,-29.92
-1,0,0,0,-1,1,-1,0,1,-1,-1,1.05,19.19,-29.69
-1,-1,-1,-1,0,0,-1,0,-1,0,0,1.19,24.49,-28.26
-1,0,0,0,-1,0,-1,0,0,0,-1,1.21,25.95,-30.47
-1,-1,-1,0,0,0,-1,0,0,0,-1,1.32,28.5,-30.39
-1,-1,-1,-1,0,0,1,0,0,1,0,1.2,22.92,-28.22
